O*NET-SOC Code,Title,career,logical,numerical,verbal,analytical,problem,tech,creative,business,healthcare,research,social
11-1011.00,Chief Executives,Management,6.335714285714287,4.821428571428571,6.242857142857144,6.3428571428571425,6.3428571428571425,6.614285714285714,3.0857142857142863,9.942857142857143,5.057142857142857,4.357142857142857,1.7999999999999998
11-1011.03,Chief Sustainability Officers,Management,6.164285714285713,4.285714285714286,5.892857142857143,5.7142857142857135,5.7142857142857135,5.800000000000001,3.5428571428571427,9.542857142857143,5.071428571428571,6.828571428571429,2.914285714285714
11-1021.00,General and Operations Managers,Management,5.7142857142857135,3.8357142857142854,5.7142857142857135,5.0,5.7142857142857135,5.357142857142857,1.842857142857143,10.0,4.828571428571428,3.3857142857142857,3.1428571428571432
11-1031.00,Legislators,Management,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,7.885714285714284,5.271428571428571,4.785714285714286,2.2
11-2011.00,Advertising and Promotions Managers,Management,5.985714285714286,4.464285714285714,5.5357142857142865,5.271428571428571,5.442857142857143,5.271428571428571,5.5285714285714285,10.0,4.485714285714286,2.414285714285714,1.4285714285714284
11-2021.00,Marketing Managers,Management,5.8999999999999995,4.192857142857143,5.807142857142856,5.45,5.357142857142857,5.357142857142857,3.5000000000000004,10.0,4.0285714285714285,4.142857142857142,1.4285714285714284
11-2022.00,Sales Managers,Management,5.628571428571428,4.371428571428572,5.628571428571428,5.628571428571428,5.542857142857143,5.45,1.942857142857143,10.0,4.814285714285714,2.3857142857142857,2.1285714285714286
11-2032.00,Public Relations Managers,Management,0.0,0.0,0.0,0.0,0.0,0.0,5.242857142857142,10.0,5.971428571428571,3.3428571428571425,1.4285714285714284
11-2033.00,Fundraising Managers,Management,5.7142857142857135,4.107142857142857,5.542857142857143,4.735714285714286,5.0,5.264285714285714,3.728571428571428,10.0,5.371428571428572,3.442857142857143,1.4285714285714284
11-3012.00,Administrative Services Managers,Management,5.357142857142857,3.121428571428572,5.7142857142857135,4.914285714285715,5.178571428571429,4.55,1.5857142857142859,9.242857142857142,5.342857142857143,3.028571428571429,2.0285714285714285
11-3013.00,Facilities Managers,Management,5.357142857142857,3.9285714285714284,5.45,5.264285714285714,5.357142857142857,4.828571428571428,2.3000000000000003,7.642857142857142,5.114285714285715,3.7142857142857144,5.928571428571429
11-3013.01,Security Managers,Management,5.800000000000001,3.4857142857142858,5.800000000000001,5.7142857142857135,6.607142857142857,5.7142857142857135,1.8571428571428572,8.042857142857143,3.9285714285714284,5.271428571428571,4.842857142857143
11-3021.00,Computer and Information Systems Managers,Management,5.7142857142857135,4.457142857142857,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.45,2.1,7.2714285714285705,3.3571428571428577,6.414285714285715,3.828571428571429
11-3031.00,Financial Managers,Management,6.1571428571428575,5.085714285714285,5.985714285714286,5.7142857142857135,5.628571428571428,5.357142857142857,2.2714285714285714,10.0,4.3428571428571425,3.5142857142857142,1.942857142857143
11-3031.01,Treasurers and Controllers,Management,6.1571428571428575,5.7142857142857135,5.9785714285714295,6.071428571428571,6.1571428571428575,6.071428571428571,1.6714285714285713,8.785714285714286,3.828571428571429,3.1428571428571432,1.4285714285714284
11-3031.03,Investment Fund Managers,Management,6.071428571428571,5.0,5.892857142857143,5.7142857142857135,5.7142857142857135,5.45,2.357142857142857,9.928571428571429,3.842857142857143,5.385714285714286,2.1142857142857143
11-3051.00,Industrial Production Managers,Management,5.892857142857143,5.0928571428571425,5.628571428571428,5.628571428571428,5.800000000000001,5.357142857142857,1.9999999999999998,8.614285714285714,2.642857142857143,4.171428571428572,5.7142857142857135
11-3051.01,Quality Control Systems Managers,Management,5.892857142857143,4.55,5.800000000000001,5.985714285714286,6.242857142857144,5.621428571428572,1.8285714285714285,7.2714285714285705,2.9571428571428573,5.885714285714286,5.114285714285715
11-3051.02,Geothermal Production Managers,Management,5.7142857142857135,5.0,5.807142857142856,5.185714285714286,5.800000000000001,5.171428571428571,1.4285714285714284,6.542857142857143,2.9571428571428573,4.785714285714286,7.642857142857142
11-3051.03,Biofuels Production Managers,Management,5.45,4.464285714285714,5.628571428571428,5.271428571428571,5.357142857142857,5.0928571428571425,1.4285714285714284,7.7285714285714295,2.6142857142857148,5.342857142857143,6.557142857142857
11-3051.04,Biomass Power Plant Managers,Management,5.892857142857143,4.464285714285714,5.807142857142856,5.628571428571428,6.1571428571428575,5.357142857142857,1.4285714285714284,6.942857142857143,2.4571428571428573,4.557142857142857,7.314285714285714
11-3051.06,Hydroelectric Production Managers,Management,5.542857142857143,4.821428571428571,5.7142857142857135,5.357142857142857,5.7142857142857135,5.264285714285714,1.4285714285714284,6.528571428571429,2.6142857142857148,5.2,7.671428571428571
11-3061.00,Purchasing Managers,Management,5.628571428571428,4.457142857142857,5.628571428571428,5.357142857142857,5.357142857142857,4.821428571428571,1.7142857142857144,10.0,3.857142857142857,2.5285714285714285,3.557142857142858
11-3071.00,"Transportation, Storage, and Distribution Managers",Management,5.45,4.021428571428571,5.45,5.271428571428571,5.45,5.171428571428571,1.4285714285714284,8.557142857142857,3.4142857142857146,3.771428571428572,5.142857142857143
